"Date","Price","Open","High","Low","Vol.","Change %"
"2025-12-31","6,845.50","6,898.82","6,901.42","6,844.55","","-0.74%"
"2025-12-30","6,896.24","6,900.44","6,913.25","6,893.47","","-0.14%"
"2025-12-29","6,905.74","6,903.60","6,920.21","6,888.76","","-0.35%"
"2025-12-26","6,929.94","6,936.02","6,945.77","6,921.60","","-0.03%"
"2025-12-24","6,932.05","6,904.91","6,937.32","6,904.91","","0.32%"
"2025-12-23","6,909.79","6,872.41","6,910.88","6,868.81","","0.46%"
"2025-12-22","6,878.49","6,865.21","6,882.03","6,855.74","","0.64%"
"2025-12-19","6,834.50","6,792.62","6,840.02","6,792.62","","0.88%"
"2025-12-18","6,774.76","6,778.06","6,816.13","6,758.50","","0.79%"
"2025-12-17","6,721.43","6,802.88","6,812.26","6,720.43","","-1.16%"
"2025-12-16","6,800.26","6,800.12","6,819.27","6,759.74","","-0.24%"
"2025-12-15","6,816.51","6,860.19","6,861.59","6,801.49","","-0.16%"
"2025-12-12","6,827.41","6,886.85","6,899.85","6,801.79","","-1.07%"
"2025-12-11","6,901.00","6,861.30","6,903.46","6,833.45","","0.21%"
"2025-12-10","6,886.68","6,833.49","6,900.67","6,824.69","","0.67%"
"2025-12-09","6,840.51","6,840.61","6,864.92","6,837.43","","-0.09%"
"2025-12-08","6,846.51","6,875.20","6,878.27","6,827.19","","-0.35%"
"2025-12-05","6,870.40","6,866.32","6,895.78","6,858.29","","0.19%"
"2025-12-04","6,857.12","6,866.47","6,866.47","6,827.12","","0.11%"
"2025-12-03","6,849.72","6,815.29","6,862.42","6,810.43","","0.30%"
"2025-12-02","6,829.37","6,830.96","6,851.55","6,806.71","","0.25%"
"2025-12-01","6,812.63","6,812.30","6,843.65","6,799.94","","-0.53%"
"2025-11-28","6,849.09","6,822.52","6,850.86","6,819.75","","0.54%"
"2025-11-26","6,812.61","6,793.55","6,831.44","6,783.87","","0.69%"
"2025-11-25","6,765.88","6,697.03","6,776.40","6,659.98","","0.91%"
"2025-11-24","6,705.12","6,636.54","6,715.75","6,630.70","","1.55%"
"2025-11-21","6,602.99","6,555.77","6,660.05","6,521.92","","0.98%"
"2025-11-20","6,538.76","6,737.93","6,770.35","6,534.05","","-1.56%"
"2025-11-19","6,642.16","6,625.84","6,689.75","6,603.50","","0.38%"
"2025-11-18","6,617.32","6,641.19","6,666.63","6,574.32","","-0.83%"
"2025-11-17","6,672.41","6,713.61","6,754.50","6,638.90","","-0.92%"
"2025-11-14","6,734.11","6,672.14","6,774.31","6,646.87","","-0.05%"
"2025-11-13","6,737.49","6,826.47","6,828.05","6,724.72","","-1.66%"
"2025-11-12","6,850.92","6,867.77","6,869.91","6,829.62","","0.06%"
"2025-11-11","6,846.61","6,815.64","6,855.13","6,806.87","","0.21%"
"2025-11-10","6,832.43","6,785.36","6,841.32","6,770.56","","1.54%"
"2025-11-07","6,728.80","6,696.18","6,730.11","6,631.44","","0.13%"
"2025-11-06","6,720.32","6,787.59","6,796.68","6,707.51","","-1.12%"
"2025-11-05","6,796.29","6,769.77","6,829.78","6,763.11","","0.37%"
"2025-11-04","6,771.55","6,788.52","6,820.21","6,766.71","","-1.17%"
"2025-11-03","6,851.97","6,882.32","6,882.32","6,820.62","","0.17%"
"2025-10-31","6,840.20","6,879.17","6,879.17","6,814.26","","0.26%"
"2025-10-30","6,822.34","6,860.50","6,880.75","6,820.69","","-0.99%"
"2025-10-29","6,890.59","6,910.95","6,920.34","6,851.91","","0.00%"
"2025-10-28","6,890.89","6,897.74","6,911.30","6,870.73","","0.23%"
"2025-10-27","6,875.16","6,845.46","6,877.28","6,843.94","","1.23%"
"2025-10-24","6,791.69","6,772.07","6,807.11","6,772.07","","0.79%"
"2025-10-23","6,738.44","6,703.65","6,749.53","6,700.14","","0.58%"
"2025-10-22","6,699.40","6,741.34","6,741.75","6,655.69","","-0.53%"
"2025-10-21","6,735.35","6,736.75","6,752.16","6,722.03","","0.00%"
"2025-10-20","6,735.13","6,690.05","6,744.35","6,690.05","","1.07%"
"2025-10-17","6,664.01","6,613.27","6,678.88","6,603.76","","0.53%"
"2025-10-16","6,629.07","6,689.02","6,709.34","6,593.99","","-0.63%"
"2025-10-15","6,671.06","6,688.27","6,724.12","6,612.11","","0.40%"
"2025-10-14","6,644.31","6,602.49","6,680.70","6,555.07","","-0.16%"
"2025-10-13","6,654.72","6,622.53","6,668.68","6,620.71","","1.56%"
"2025-10-10","6,552.51","6,740.49","6,762.40","6,550.78","","-2.71%"
"2025-10-09","6,735.11","6,760.50","6,764.58","6,716.17","","-0.28%"
"2025-10-08","6,753.72","6,723.87","6,755.64","6,718.09","","0.58%"
"2025-10-07","6,714.59","6,746.14","6,754.49","6,699.96","","-0.38%"
"2025-10-06","6,740.28","6,733.86","6,749.52","6,717.78","","0.36%"
"2025-10-03","6,715.79","6,722.14","6,750.87","6,705.67","","0.01%"
"2025-10-02","6,715.35","6,731.31","6,731.94","6,693.23","","0.06%"
"2025-10-01","6,711.20","6,664.92","6,718.48","6,656.20","","0.34%"
"2025-09-30","6,688.46","6,656.19","6,691.25","6,641.00","","0.41%"